"","x1","x2","Type"
"TCGE-01-0110-30-A",-0.356063064130963,7.94194429424303,"Lung Cancer"
"TCGE-01-0111-30-A",-2.11365646323406,2.98493802319116,"Lung Cancer"
"TCGE-01-0334-30-A",-5.33531636608386,6.12785187888065,"Lung Cancer"
"TCGE-01-0335-30-A",-2.74449507919549,7.14134127154146,"Lung Cancer"
"TCGE-01-0336-30-A",1.21172133367474,7.18070298106746,"Lung Cancer"
"TCGE-01-0337-30-A",-4.64186754643746,6.95978698293167,"Lung Cancer"
"TCGE-01-0089-30-A",-4.40606943194103,2.92774246466353,"Lung Cancer"
"TCGE-01-0338-30-A",4.25509871915613,6.34538614357818,"Lung Cancer"
"TCGE-01-0339-30-A",-2.57012747599217,8.1402982969373,"Lung Cancer"
"TCGE-01-0340-30-A",5.56075527766356,4.64611572702562,"Lung Cancer"
"TCGE-01-0341-30-A",6.37995182743408,6.33760001469155,"Lung Cancer"
"TCGE-01-0342-30-A",-5.52049913952449,3.30436889308226,"Lung Cancer"
"TCGE-01-0343-30-A",-6.34805222537377,-0.030783023632813,"Lung Cancer"
"TCGE-01-0344-30-A",-4.25954824425576,3.5048642743065,"Lung Cancer"
"TCGE-01-0345-30-A",-2.0398109214703,8.60491785263103,"Lung Cancer"
"TCGE-01-0346-30-A",-4.76722092278166,3.28780834204536,"Lung Cancer"
"TCGE-01-0347-30-A",-5.52698301090172,2.69230213347874,"Lung Cancer"
"TCGE-01-0090-30-A",-3.72558872491058,7.97825489411339,"Lung Cancer"
"TCGE-01-0348-30-A",-6.17695376940194,2.95511077170698,"Lung Cancer"
"TCGE-01-0349-30-A",-6.49428698835932,0.801368093211125,"Lung Cancer"
"TCGE-01-0350-30-A",5.31084173161215,4.8665691541094,"Lung Cancer"
"TCGE-01-0351-30-A",6.2826174978768,6.00368363480968,"Lung Cancer"
"TCGE-01-0352-30-A",5.472163118842,2.88662750526388,"Lung Cancer"
"TCGE-01-0353-30-A",3.70929389012111,3.37654224995623,"Lung Cancer"
"TCGE-01-0354-30-A",-2.19011403677834,6.9620551057208,"Lung Cancer"
"TCGE-01-0355-30-A",-2.99838960510646,8.85014468281236,"Lung Cancer"
"TCGE-01-0356-30-A",-5.04233815105149,5.78737062101287,"Lung Cancer"
"TCGE-01-0357-30-A",5.58348189918786,3.09298202495175,"Lung Cancer"
"TCGE-01-0091-30-A",-5.60332151584088,-0.39192685642278,"Lung Cancer"
"TCGE-01-0358-30-A",5.46611765303478,6.42275656005903,"Lung Cancer"
"TCGE-01-0359-30-A",-4.19196384163233,6.39128543210153,"Lung Cancer"
"TCGE-01-0360-30-A",0.319463634195126,8.62298288215237,"Lung Cancer"
"TCGE-01-0361-30-A",-0.625931590954189,5.8032442778181,"Lung Cancer"
"TCGE-01-0362-30-A",-5.2467573664598,1.10065641781272,"Lung Cancer"
"TCGE-01-0364-30-A",6.04394797304508,5.39660002411732,"Lung Cancer"
"TCGE-01-0365-30-A",-5.49749472337698,0.62039138424017,"Lung Cancer"
"TCGE-01-0366-30-A",-5.75666647675275,0.449815897957602,"Lung Cancer"
"TCGE-01-0367-30-A",3.61977436410382,4.04443835587328,"Lung Cancer"
"TCGE-01-0092-30-A",5.57664467271654,3.58262456548635,"Lung Cancer"
"TCGE-01-0369-30-A",-3.05926697771137,8.56399519552743,"Lung Cancer"
"TCGE-01-0370-30-A",-5.10867531487892,6.52751010416752,"Lung Cancer"
"TCGE-01-0371-30-A",3.99231444088193,3.71710488067698,"Lung Cancer"
"TCGE-01-0372-30-A",-5.43415197788196,6.05474164370659,"Lung Cancer"
"TCGE-01-0373-30-A",-4.9938857049001,2.40425478125369,"Lung Cancer"
"TCGE-01-0374-30-A",-4.83126791998437,2.87264485550164,"Lung Cancer"
"TCGE-01-0375-30-A",-5.84636627734785,0.235698736448429,"Lung Cancer"
"TCGE-01-0376-30-A",0.23607399952212,6.22559387504687,"Lung Cancer"
"TCGE-01-0377-30-A",5.92418657820179,4.42347480937475,"Lung Cancer"
"TCGE-01-0093-30-A",4.33915560807647,2.75176252465014,"Lung Cancer"
"TCGE-01-0378-30-A",-2.59028939503591,-4.64580380151599,"Lung Cancer"
"TCGE-01-0379-30-A",5.01884685768748,4.27219662591245,"Lung Cancer"
"TCGE-01-0380-30-A",6.03554334603234,6.5597263818756,"Lung Cancer"
"TCGE-01-0381-30-A",-2.41030870691985,3.77090678177494,"Lung Cancer"
"TCGE-01-0382-30-A",4.11775895606202,3.06932644814949,"Lung Cancer"
"TCGE-01-0383-30-A",-2.38035746961559,7.32562300756513,"Lung Cancer"
"TCGE-01-0384-30-A",4.6317719692754,4.30495201085144,"Lung Cancer"
"TCGE-01-0385-30-A",-3.84027122271329,3.01542497132014,"Lung Cancer"
"TCGE-01-0386-30-A",3.37302259473523,7.77508761381671,"Lung Cancer"
"TCGE-01-0094-30-A",-3.19764761220557,5.7081486603857,"Lung Cancer"
"TCGE-01-0388-30-A",-4.1224003887137,4.03749174814485,"Lung Cancer"
"TCGE-01-0095-30-A",-1.53470253905807,4.78179120013825,"Lung Cancer"
"TCGE-01-0275-30-A",-2.44870576845665,-7.25198604263206,"Pancreatic Cancer"
"TCGE-01-0284-30-A",1.66733104029464,-3.45400736304169,"Pancreatic Cancer"
"TCGE-01-0285-30-A",-3.8119664036246,-7.12909491723216,"Pancreatic Cancer"
"TCGE-01-0286-30-A",2.72173444921766,-9.3703691911694,"Pancreatic Cancer"
"TCGE-01-0287-30-A",-4.31842188996542,-7.72375992902943,"Pancreatic Cancer"
"TCGE-01-0288-30-A",-4.70128114782687,-7.64144125066496,"Pancreatic Cancer"
"TCGE-01-0289-30-A",0.258363033907825,-9.24992718908526,"Pancreatic Cancer"
"TCGE-01-0290-30-A",1.78853386137573,-7.97977657599466,"Pancreatic Cancer"
"TCGE-01-0291-30-A",-0.518367364143336,-7.99247144654196,"Pancreatic Cancer"
"TCGE-01-0292-30-A",1.16655816357178,-6.52808687490705,"Pancreatic Cancer"
"TCGE-01-0293-30-A",-0.956837592613017,-6.39372803747405,"Pancreatic Cancer"
"TCGE-01-0276-30-A",-0.947058672071613,-5.07458567974053,"Pancreatic Cancer"
"TCGE-01-0294-30-A",-1.57829588364743,-6.80632066036618,"Pancreatic Cancer"
"TCGE-01-0295-30-A",1.84550055704677,-3.57027012505811,"Pancreatic Cancer"
"TCGE-01-0296-30-A",-2.04297746852494,-5.61073054520661,"Pancreatic Cancer"
"TCGE-01-0297-30-A",1.99837345274818,-6.5378376801251,"Pancreatic Cancer"
"TCGE-01-0298-30-A",0.460672963433798,-4.95080624473461,"Pancreatic Cancer"
"TCGE-01-0228-30-A",0.472896477589294,-6.72417611731322,"Pancreatic Cancer"
"TCGE-01-0229-30-A",0.989544006197639,-10.0651016633268,"Pancreatic Cancer"
"TCGE-01-0230-30-A",-1.15110396148531,-5.27984207581908,"Pancreatic Cancer"
"TCGE-01-0231-30-A",0.205343355621434,-5.5437304809246,"Pancreatic Cancer"
"TCGE-01-0232-30-A",0.484711349395868,-9.60205189265191,"Pancreatic Cancer"
"TCGE-01-0277-30-A",-4.88558192600389,-7.81916863592946,"Pancreatic Cancer"
"TCGE-01-0233-30-A",3.22772190764786,-6.47930352848831,"Pancreatic Cancer"
"TCGE-01-0234-30-A",-1.7097227976301,-6.63276057393267,"Pancreatic Cancer"
"TCGE-01-0235-30-A",3.84730274258815,-4.25591259296601,"Pancreatic Cancer"
"TCGE-01-0236-30-A",-1.07340050492732,-8.52058879082963,"Pancreatic Cancer"
"TCGE-01-0237-30-A",0.443764651867715,-7.92507330405845,"Pancreatic Cancer"
"TCGE-01-0238-30-A",-2.7763787726014,-5.5416609666578,"Pancreatic Cancer"
"TCGE-01-0239-30-A",-1.87186640986831,-6.25501728766256,"Pancreatic Cancer"
"TCGE-01-0240-30-A",-1.60828385729607,-6.86684815413732,"Pancreatic Cancer"
"TCGE-01-0241-30-A",5.06575453930376,-4.28040390362653,"Pancreatic Cancer"
"TCGE-01-0242-30-A",1.24647700175619,-6.47072910310404,"Pancreatic Cancer"
"TCGE-01-0278-30-A",4.61448697904119,-4.39807827775434,"Pancreatic Cancer"
"TCGE-01-0243-30-A",0.201656815455347,-4.28158005930319,"Pancreatic Cancer"
"TCGE-01-0244-30-A",-2.78627236020193,-7.45226993003627,"Pancreatic Cancer"
"TCGE-01-0245-30-A",4.2691830414074,-5.56576469023205,"Pancreatic Cancer"
